C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4262.HEIC,Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4263.HEIC,Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4264.HEIC,Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4265.HEIC,Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4267.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4275.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4277.HEIC,Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4295.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4297.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4303.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4307.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4312.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4317.HEIC,Other|vehicles|car^People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4319.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4323.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4324.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4325.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4328.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4332.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4336.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4339.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4342.HEIC,Other|vehicles|car^Other|vehicles|truck
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4344.HEIC,Other|vehicles|car^People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4347.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4352.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4354.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4355.HEIC,
